,C,gr,dE,sig,SaSi,alpha,beta,gamma,NrObs,ObsSig,Obs,AVG LenTraj,STD LenTraj,Rop,AvgRop,AVG Rew,STD Rew,NrX,AllConverged,ds,l,r,STDr,STDl,rl,EquiP,OrderP,rop
0,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,1.0,[7],"[[0, 1, 2, 3, 4, 5, 6]]",189.65,37.446,1.369,1.369,0.194,0.0,1.0,True,[],0.20378689281665896,-0.856508875739645,0.0,0.15721063016919265,-0.0,7,42,0.01257396449704129
1,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,2.0,"[6, 1]","[[0, 1, 2, 3, 4, 5], [6]]",222.29,21.143,1.369,1.369,0.194,0.0,1.0,True,[],0.06675343213401064,-0.856508875739645,0.0,0.08876527142197406,-0.0,6,180,0.01257396449704129
2,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,2.0,"[5, 2]","[[0, 1, 2, 3, 4], [5, 6]]",220.14,28.879,1.369,1.369,0.53,0.292,2.0,True,[1.1135528725660044],0.07577983962382973,-0.6079881656804733,0.2159763313609467,0.12124354506906251,-0.0,10,105,0.01257396449704129
3,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[5, 1, 1]","[[0, 1, 2, 3, 4], [5], [6]]",188.99,32.374,1.369,1.369,0.871,0.497,2.0,True,[0.66332495807108],0.20655778999958008,-0.35576923076923084,0.36760355029585795,0.13591670515134976,-0.0,5,500,0.01257396449704129
4,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,2.0,"[4, 3]","[[0, 1, 2, 3], [4, 5, 6]]",159.62,39.377,1.369,1.369,0.736,0.355,2.0,True,[1.1704699910719625],0.3298627146395734,-0.4556213017751479,0.2625739644970414,0.16531760359376968,-0.0,12,56,0.01257396449704129
5,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[4, 2, 1]","[[0, 1, 2, 3], [4, 5], [6]]",155.1,37.658,1.369,1.369,0.945,0.387,2.0,True,[1.3266499161421599],0.3488391620135186,-0.30103550295857995,0.28624260355029585,0.15810067593097948,-0.0,8,208,0.01257396449704129
6,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[4, 1, 2]","[[0, 1, 2, 3], [4], [5, 6]]",137.87,38.341,1.369,1.369,1.043,0.488,2.0,True,[1.6673332000533065],0.421176371804022,-0.22855029585798825,0.36094674556213013,0.1609681346823964,-0.0,8,196,0.01257396449704129
7,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[4, 1, 1, 1]","[[0, 1, 2, 3], [4], [5], [6]]",186.81,27.815,1.369,1.369,1.099,0.451,2.0,True,[1.673320053068151],0.2157101473613502,-0.187130177514793,0.33357988165680474,0.11677652294386835,-0.0,4,768,0.01257396449704129
8,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,2.0,"[3, 4]","[[0, 1, 2], [3, 4, 5, 6]]",179.54,107.023,1.369,1.369,0.945,0.0,1.0,True,[],0.24623199966413367,-0.30103550295857995,0.0,0.44931777152693225,-0.0,12,44,0.01257396449704129
9,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[3, 3, 1]","[[0, 1, 2], [3, 4, 5], [6]]",157.21,25.57,1.369,1.369,1.008,0.0,2.0,True,[0.14142135623730953],0.33998068768630085,-0.2544378698224853,0.0,0.10735127419287124,-0.0,9,72,0.01257396449704129
10,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[3, 2, 2]","[[0, 1, 2], [3, 4], [5, 6]]",137.43,37.212,1.369,1.369,1.201,0.0,2.0,True,[0.1],0.4230236365926361,-0.11168639053254437,0.0,0.15622822116797516,-0.0,12,66,0.01257396449704129
11,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[3, 2, 1, 1]","[[0, 1, 2], [3, 4], [5], [6]]",206.95,50.451,1.369,1.369,1.204,0.0,1.0,True,[],0.13115579999160343,-0.10946745562130189,0.0,0.21180989965993535,-0.0,6,189,0.01257396449704129
12,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[3, 1, 3]","[[0, 1, 2], [3], [4, 5, 6]]",233.2,75.944,1.369,1.369,1.306,0.0,1.0,True,[],0.02094966203451032,-0.03402366863905326,0.0,0.3188379025147991,-0.0,9,60,0.01257396449704129
13,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[3, 1, 2, 1]","[[0, 1, 2], [3], [4, 5], [6]]",253.36,70.794,1.369,1.369,1.306,0.0,1.0,True,[],-0.06368865191653739,-0.03402366863905326,0.0,0.2972165078298837,0.0,6,171,0.01257396449704129
14,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[3, 1, 1, 2]","[[0, 1, 2], [3], [4], [5, 6]]",210.96,43.787,1.369,1.369,1.354,0.0,1.0,True,[],0.11432050044082454,0.0014792899408284654,0.0,0.18383223477056132,0.00016911316633258787,6,165,0.01257396449704129
15,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,5.0,"[3, 1, 1, 1, 1]","[[0, 1, 2], [3], [4], [5], [6]]",218.52,46.107,1.369,1.369,1.352,0.0,1.0,True,[],0.08258113270918166,0.0,0.0,0.19357235820143584,0.0,3,486,0.01257396449704129
16,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,2.0,"[2, 5]","[[0, 1], [2, 3, 4, 5, 6]]",97.23,12.147,1.369,1.369,0.697,0.0,1.0,True,[],0.5917964650069272,-0.4844674556213019,0.0,0.05099710315294513,-0.0,10,45,0.01257396449704129
17,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[2, 4, 1]","[[0, 1], [2, 3, 4, 5], [6]]",96.91,8.565,1.369,1.369,0.995,0.0,1.0,True,[],0.5931399303077376,-0.26405325443786987,0.0,0.035958688442000085,-0.0,8,112,0.01257396449704129
18,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[2, 3, 2]","[[0, 1], [2, 3, 4], [5, 6]]",189.73,19.152,1.369,1.369,1.043,0.0,1.0,True,[],0.2034510264914564,-0.22855029585798825,0.0,0.08040639825349512,-0.0,12,48,0.01257396449704129
19,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[2, 3, 1, 1]","[[0, 1], [2, 3, 4], [5], [6]]",324.96,52.133,1.369,1.369,1.206,0.0,1.0,True,[],-0.36428901297283667,-0.10798816568047342,0.0,0.21887148914731938,0.0,6,135,0.01257396449704129
20,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[2, 2, 3]","[[0, 1], [2, 3], [4, 5, 6]]",168.32,42.748,1.369,1.369,1.261,0.0,1.0,True,[],0.2933372517737941,-0.0673076923076924,0.0,0.17947017087199293,-0.0,12,42,0.01257396449704129
21,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[2, 2, 2, 1]","[[0, 1], [2, 3], [4, 5], [6]]",172.63,33.914,1.369,1.369,1.263,0.0,1.0,True,[],0.2752424535035056,-0.06582840236686405,0.0,0.14238213191149923,-0.0,8,28,0.01257396449704129
22,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[2, 2, 1, 2]","[[0, 1], [2, 3], [4], [5, 6]]",200.69,25.517,1.369,1.369,1.348,0.0,1.0,True,[],0.15743733993870435,-0.00295857988165682,0.0,0.10712876275242453,-0.0,8,26,0.01257396449704129
23,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,5.0,"[2, 2, 1, 1, 1]","[[0, 1], [2, 3], [4], [5], [6]]",209.64,24.565,1.369,1.369,1.347,0.0,1.0,True,[],0.11986229480666699,-0.0036982248520710526,0.0,0.10313195348251397,-0.0,4,48,0.01257396449704129
24,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[2, 1, 4]","[[0, 1], [2], [3, 4, 5, 6]]",134.09,13.064,1.369,1.369,1.05,0.0,1.0,True,[],0.43704605566984334,-0.22337278106508873,0.0,0.05484697090557958,-0.0,8,76,0.01257396449704129
25,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[2, 1, 3, 1]","[[0, 1], [2], [3, 4, 5], [6]]",155.78,20.589,1.369,1.369,1.061,0.0,1.0,True,[],0.3459842982492968,-0.21523668639053262,0.0,0.08643939711994626,-0.0,6,99,0.01257396449704129
26,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[2, 1, 2, 2]","[[0, 1], [2], [3, 4], [5, 6]]",117.12,24.089,1.369,1.369,1.2,0.0,1.0,True,[],0.5082916999034384,-0.11242603550295871,0.0,0.10113354884755867,-0.0,8,22,0.01257396449704129
27,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,5.0,"[2, 1, 2, 1, 1]","[[0, 1], [2], [3, 4], [5], [6]]",190.64,41.198,1.369,1.369,1.2,0.0,1.0,True,[],0.19963054704227723,-0.11242603550295871,0.0,0.17296276082119316,-0.0,4,40,0.01257396449704129
28,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[2, 1, 1, 3]","[[0, 1], [2], [3], [4, 5, 6]]",201.59,58.699,1.369,1.369,1.3,0.0,1.0,True,[],0.15365884378017547,-0.03846153846153855,0.0,0.24643771778832024,-0.0,6,87,0.01257396449704129
29,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,5.0,"[2, 1, 1, 2, 1]","[[0, 1], [2], [3], [4, 5], [6]]",203.26,53.056,1.369,1.369,1.301,0.0,1.0,True,[],0.1466476342415719,-0.037721893491124425,0.0,0.222746546874344,-0.0,4,36,0.01257396449704129
30,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,5.0,"[2, 1, 1, 1, 2]","[[0, 1], [2], [3], [4], [5, 6]]",211.65,29.072,1.369,1.369,1.353,0.0,1.0,True,[],0.11142365338595239,0.0007396449704140107,0.0,0.1220538225786137,8.241394481207374e-05,4,34,0.01257396449704129
31,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,6.0,"[2, 1, 1, 1, 1, 1]","[[0, 1], [2], [3], [4], [5], [6]]",215.29,28.38,1.369,1.369,1.352,0.0,1.0,True,[],0.09614173558923556,0.0,0.0,0.11914857886561149,0.0,2,64,0.01257396449704129
32,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,2.0,"[1, 6]","[[0], [1, 2, 3, 4, 5, 6]]",228.07,22.172,1.369,1.369,0.191,0.0,1.0,True,[],0.04248709013812502,-0.8587278106508875,0.0,0.09308535202989211,-0.0,6,30,0.01257396449704129
33,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[1, 5, 1]","[[0], [1, 2, 3, 4, 5], [6]]",224.61,23.531,1.369,1.369,0.624,0.167,2.0,True,[1.5842979517754858],0.057013308703136034,-0.5384615384615385,0.12352071005917159,0.09879088122927075,-0.0,5,100,0.01257396449704129
34,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[1, 4, 2]","[[0], [1, 2, 3, 4], [5, 6]]",217.41,25.874,1.369,1.369,1.131,0.238,2.0,True,[1.6852299546352718],0.08724127797136738,-0.16346153846153855,0.17603550295857986,0.10862756622864099,-0.0,8,52,0.01257396449704129
35,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[1, 4, 1, 1]","[[0], [1, 2, 3, 4], [5], [6]]",236.84,28.661,1.369,1.369,1.186,0.228,3.0,True,"[1.3564659966250536, 1.2806248474865698, 0.14142135623730948]",0.005667744237793371,-0.12278106508875752,0.16863905325443787,0.12032830933288552,-0.0,4,192,0.01257396449704129
36,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[1, 3, 3]","[[0], [1, 2, 3], [4, 5, 6]]",215.72,30.248,1.369,1.369,1.208,0.179,2.0,True,[1.649242250247064],0.09433645409127167,-0.10650887573964507,0.132396449704142,0.12699105755909149,-0.0,9,24,0.01257396449704129
37,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[1, 3, 2, 1]","[[0], [1, 2, 3], [4, 5], [6]]",217.9,26.75,1.369,1.369,1.221,0.147,2.0,True,[1.9339079605813716],0.08518409672950167,-0.09689349112426038,0.10872781065088756,0.11230530248960914,-0.0,6,63,0.01257396449704129
38,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[1, 3, 1, 2]","[[0], [1, 2, 3], [4], [5, 6]]",225.89,25.443,1.369,1.369,1.314,0.196,3.0,True,"[1.8894443627691184, 1.9364916731037085, 0.1414213562373095]",0.05163944749989513,-0.028106508875739622,0.14497041420118342,0.10681808640161217,-0.0,6,57,0.01257396449704129
39,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,5.0,"[1, 3, 1, 1, 1]","[[0], [1, 2, 3], [4], [5], [6]]",228.57,26.587,1.369,1.369,1.336,0.114,3.0,True,"[1.8947295321496416, 1.9416487838947598, 0.1414213562373095]",0.040387925605609,-0.01183431952662728,0.08431952662721894,0.1116209748520089,-0.0,3,162,0.01257396449704129
40,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,3.0,"[1, 2, 4]","[[0], [1, 2], [3, 4, 5, 6]]",219.83,29.197,1.369,1.369,1.047,0.0,4.0,True,"[0.1414213562373095, 0.09999999999999998, 0.1732050807568877, 0.1732050807568877, 0.09999999999999998, 0.1414213562373095]",0.07708132163398962,-0.22559171597633143,0.0,0.12257861371174272,-0.0,8,28,0.01257396449704129
41,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[1, 2, 3, 1]","[[0], [1, 2], [3, 4, 5], [6]]",220.71,23.392,1.369,1.369,1.055,0.0,2.0,True,[0.09999999999999998],0.07338679205676135,-0.2196745562130179,0.0,0.09820731348923128,-0.0,6,45,0.01257396449704129
42,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[1, 2, 2, 2]","[[0], [1, 2], [3, 4], [5, 6]]",212.25,31.834,1.369,1.369,1.182,0.0,2.0,True,[0.09999999999999998],0.1089046559469331,-0.12573964497041434,0.0,0.13364960745623242,-0.0,8,14,0.01257396449704129
43,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,5.0,"[1, 2, 2, 1, 1]","[[0], [1, 2], [3, 4], [5], [6]]",232.25,23.733,1.369,1.369,1.184,0.0,2.0,True,[0.09999999999999998],0.02493807464629072,-0.12426035502958588,0.0,0.09963894370040724,-0.0,4,24,0.01257396449704129
44,7.0,0.8,0.2,0.5,100.0,0.02,250.0,0.9,4.0,"[1, 2, 1, 3]","[[0], [1, 2], [3], [4, 5, 6]]",248.47,28.947,1.369,1.369,1.301,0.0,1.0,True,[],-0.04315882278853023,-0.037721893491124425,0.0,0.1215290314454847,0.0,6,33,0.01257396449704129
